as it happens,By coincidence or actually,As it happens, I was just leaving,4
as I was saying,Used to resume a topic,As I was saying, we need to plan ahead,5
ask after,Inquire about someone’s health or well-being,He asked after your mother,3
ask around,Seek information from several people,I’ll ask around and see who’s hiring,4
ask for it,Behave in a way that invites trouble,He insulted the boss—he was asking for it,4
ask for the moon,Demand something impossible,Don’t ask for the moon—be realistic,3
asking for a friend,Humorous phrase when pretending curiosity,How do you delete messages… asking for a friend,4
ask my arse,Expression of disbelief or annoyance,He said he’s a genius—ask my arse!,1
ask round,Invite or inquire among friends,We’ll ask round to see who can come,2
asleep at the switch,Not paying attention when needed,The guard was asleep at the switch,3
as long as,Provided that or since,You can go out as long as you’re home by ten,5
as luck may have it,Depending on luck,As luck may have it, we found a taxi right away,3
as luck would have it,By chance or fortune,As luck would have it, I met her again,4
as of,Starting from a specific time,As of Monday, I’ll be working remotely,4
as of late,Recently,He’s been quiet as of late,3
as often as not,Usually,As often as not, he forgets his keys,3
asphalt jungle,City life with danger or competition,He grew up in the asphalt jungle,3
assault and battery,Physical attack,He was charged with assault and battery,4
ass-backwards,Completely wrong or reversed,They organized the project ass-backwards,3
as soon as,Immediately after,Call me as soon as you arrive,5
ass over teakettle,Fall head over heels,He slipped and went ass over teakettle,2
assume room temperature,Die (euphemism),He assumed room temperature last night,1
assume the mantle,Take on a role or responsibility,She assumed the mantle of leadership,3
assume the position,Adopt a required stance (often humorous or police use),He told them to assume the position,3
as the crow flies,In a straight line,It’s ten miles as the crow flies,4
as the day is long,To a great extent,She’s kind as the day is long,3
as the gull flies,Same as “as the crow flies” (nautical variant),It’s shorter as the gull flies,1
as the next girl,As much as any other woman,I like chocolate as much as the next girl,3
as the next guy,As much as any other man,He loves sports as much as the next guy,3
as the next person,Same as others,I enjoy coffee as much as the next person,4
as the wind blows,Depending on circumstances,He changes opinions as the wind blows,3
as they come,To a great extent,He’s as honest as they come,4
as well,Also or too,I’ll go as well,5
as yet,Up to now (usually negative),No solution as yet,4
as you go,While you proceed,Pay the bill as you go,3
as you know,Referring to shared knowledge,As you know, we’ve already met,5
at a canter,At an easy pace,He finished the race at a canter,2
at a distance,From afar,They admired the mountain at a distance,4
at a draught,In one gulp,He drank the beer at a draught,2
at a glance,Quickly by looking once,You can tell at a glance who’s in charge,5
at all,In any way (often negative),He didn’t help at all,5
at all events,In any case,At all events, we must try,3
at all hands,By everyone,The decision was approved at all hands,1
at all hours,At any time,The phone rings at all hours,3
at a loss,Confused or unsure,He was at a loss for words,4
at a loss for words,Unable to speak,She was at a loss for words when she saw him,4
at a low ebb,At a weak or depressed state,His confidence was at a low ebb,3
at a moment's notice,With little warning,She can leave at a moment’s notice,4
at any given moment,At any specific time,The data updates at any given moment,3
at a pinch,If necessary,We can fit six people at a pinch,3
at arm's length,Keep distance physically or emotionally,Keep the client at arm’s length,4
at a stand,Stopped or stationary,The machine was at a stand,2
at bay,Kept away or under control,The guards kept the crowd at bay,4
at bottom,Fundamentally or essentially,At bottom, he’s a good man,2
at cross-purposes,Misunderstanding each other,They’re talking at cross-purposes,3
at daggers drawn,Hostile to one another,The rivals were at daggers drawn,2
at death's door,Near death,He was at death’s door with pneumonia,3
at each other's throats,Constantly arguing,They’ve been at each other’s throats all day,4
at first,Initially,At first it was hard to learn,5
at first blush,At first impression,At first blush, the plan looked perfect,3
at full tilt,At maximum speed,The machine is running at full tilt,3
at home,Comfortable or familiar,He feels at home in the lab,5
at large,Free or not captured,The suspect is still at large,5
at last,Finally,We arrived at last,5
at latter Lammas,Never (old idiom meaning “never”),He’ll pay you at latter Lammas,1
at long last,Finally after delay,At long last the rain stopped,4
at loose ends,Unoccupied or unsettled,He’s been at loose ends since graduation,3
at odds,In disagreement,They’re at odds over the proposal,4
atomic cocktail,Powerful alcoholic drink,He ordered an atomic cocktail at the bar,2
at one's feet,Admiring or devoted to someone,The fans were at her feet,3
at one's fingertips,Readily available,All the data is at your fingertips,4
at pains,Making great effort,She was at pains to explain the rule,3
at peace,Calm or free from conflict,He’s finally at peace,4
at peace with,Accepting something,She’s at peace with her decision,3
at places,In some locations,The road is icy at places,2
at rack and manger,Completely provided for,He was living at rack and manger,1
at rest,Not moving or deceased,The ship is at rest in the harbor,4
at sea,Confused or lost,He felt at sea in the new job,4
at sixes and sevens,In confusion or disorder,The office was at sixes and sevens,3
at someone's disposal,Available for someone’s use,The car is at your disposal,4
at someone's door,Attributed to someone’s responsibility,The blame lies at his door,3
at someone's heels,Following closely,The dog was always at his heels,3
at spearpoint,Under threat,They were forced to surrender at spearpoint,2
at stake,At risk or in question,Millions are at stake in the deal,5
attaboy,Expression of praise,Attaboy! You did great!,3
attagal,Variant of “attagirl”,Attagal! Nice work!,1
atta girl,Encouraging praise,Atta girl! You nailed it!,3
attagirl,Same as “atta girl”,Attagirl! Keep going!,3
attakid,Encouraging phrase for a child,Attakid, that’s the spirit!,2
attention whore,Person seeking excessive attention,He’s such an attention whore on social media,3
at that,In addition or emphasizing,It’s a big house—and cheap at that,3
at the best of times,Even under good conditions,He’s grumpy at the best of times,4
at the coal face,In direct contact with real work,She’s working at the coal face in customer support,2
at the disposal of,Available for use by,Resources are at the disposal of management,3
at the door of,Attributed to,The error was laid at the door of IT,2
at the drop of a hat,Immediately without hesitation,She helps at the drop of a hat,4
at the elbow,Close by or assisting,His aide was always at his elbow,2
at the end of one's tether,Out of patience or strength,She’s at the end of her tether with the kids,3
at the end of the day,Ultimately or in conclusion,At the end of the day, results matter,5
at the expense of,To the detriment of,He succeeded at the expense of his health,4
at the feet of,Learning from or admiring someone,She studied at the feet of a master,3
at the helm,In charge or leading,He’s now at the helm of the company,4
at the high port,With weapon held upright (military),Soldiers stood at the high port,1
at the last minute,Just before a deadline,He finished the report at the last minute,4
at the mercy of,Completely controlled by,We were at the mercy of the storm,4
at the ready,Prepared,The troops stood at the ready,3
at the receiving end,Being the target of something,She’s always at the receiving end of criticism,3
at the top of one's lungs,As loudly as possible,He shouted at the top of his lungs,4
at the top of one's voice,Very loudly,She sang at the top of her voice,4
at the very least,Minimum estimate,You should apologize at the very least,4
at the very most,Maximum estimate,It’ll take an hour at the very most,3
at the wheel,In control of a vehicle or situation,He fell asleep at the wheel,4
at this point in time,At the current moment,We can’t confirm anything at this point in time,4
Attic salt,Witty or refined humor,His jokes are full of Attic salt,1
at times,Occasionally,At times I miss the city life,4
at variance,In disagreement,Their reports are at variance,3
at will,Whenever desired,You may leave at will,4
Augean stables,A filthy or corrupt place needing cleansing,He was appointed to clean the Augean stables of bureaucracy,2
auld lang syne,Old times past or friendship,They sang “Auld Lang Syne” on New Year’s Eve,4
autem cackler,Old cant for a priest,He met an autem cackler in the alley,1
autem diver,Priest who baptizes (archaic slang),An autem diver performed the ceremony,1
autem mort,Married woman (archaic slang),He flirted with an autem mort,1
autumn romance,Late-life love affair,They shared an autumn romance,2
avant la lettre,Before the term existed,He was a minimalist avant la lettre,2
average bear,Typical or ordinary person,He’s smarter than your average bear,3
average joe,Ordinary man,He’s just an average joe,4
average up,Increase an average,They decided to average up their investments,2
away game,Event played outside one’s home area,The team lost the away game,3
away with the fairies,Dreamy or not paying attention,He’s away with the fairies again,3
a week from next Tuesday,Humorous for “never” or indefinite future,We’ll finish that a week from next Tuesday,2
a week is a long time in politics,Things change quickly in politics,A week is a long time in politics,3
a wild goose never laid a tame egg,Things follow their nature,A wild goose never laid a tame egg,1
a year and a day,Traditional legal or poetic phrase,He was banished for a year and a day,2
aye aye, sir,Naval expression of acknowledgment,Aye aye, sir! the sailor replied,3
babe in arms,Very young baby,She was carrying a babe in arms,4
babe in the woods,Inexperienced person,He’s a babe in the woods in business,3
babe magnet,Man attractive to women,He’s a real babe magnet,3
babies in the eyes,Reflection seen in a lover’s pupils,She gazed and saw babies in his eyes,1
baby and bathwater,Rejecting both good and bad together,Don’t throw out the baby with the bathwater,4
baby elephant in the room,Obvious but ignored problem (variant),Let’s talk about the baby elephant in the room,2
babysitter test,Check whether content is safe for kids,That joke fails the babysitter test,2
baby up,To act childish or emotional,Don’t baby up—handle it,1
back at you,Same to you,Nice work—back at you!,4
back-burner,Postpone temporarily,Let’s put that idea on the back-burner,4
backburner,Synonym for back-burner,That project’s on the backburner,4
back-cloth star,Background performer (theatre),He was just a back-cloth star,1
back down,Withdraw or concede,He refused to back down from the argument,4
backfire,Produce opposite result,The plan backfired badly,5
back forty,Remote piece of land,He lives out on the back forty,2
back gammon player,Gambler or schemer,He’s an old back gammon player,1
backhanded compliment,Praise that’s actually insulting,That’s a backhanded compliment if ever I heard one,4
back in the day,In the past,Back in the day, phones had cords,4
back in the game,Active again,After his injury he’s back in the game,4
back in the groove,Performing smoothly again,After vacation I’m back in the groove,3
back into,Return to or bump against,He backed into the garage door,4
back off,Retreat or stop pressuring,Back off and give me space,4
back office,Administrative area of a business,He works in the back office of the bank,3
back of one's hand,Complete familiarity,He knows the city like the back of his hand,5
back-of-the-envelope,Rough or quick calculation,We did a back-of-the-envelope estimate,4
back-patty,Fake compliment or insincere praise,He gave her a back-patty instead of real credit,1
backpedal,Reverse one’s position,He had to backpedal after his comment,4
back-pocket,Reserved or hidden,Keep that plan in your back pocket,3
back-to-back-to-back,In succession,They won back-to-back-to-back championships,3
back to square one,Restart from the beginning,The project failed—back to square one,5
back to the drawing board,Start over to redesign,It didn’t work—back to the drawing board,5
back to the wall,In a difficult position,With debts rising, he’s back to the wall,4
back up,Support or make a copy,Please back up your files,5
back up the truck,Buy heavily (finance slang),Traders are backing up the truck on this stock,2
backwards and forwards,In both directions or thoroughly,He read the book backwards and forwards,4
backwater,Remote or undeveloped area,He moved to a sleepy backwater town,3
bacon-faced,Having a ruddy complexion,The bacon-faced man smiled,1
bacon-fed,Plump or healthy (old idiom),A bacon-fed youth,1
bad actor,Person who behaves badly,He’s a bad actor in the company,3
bad apple,Corrupt or troublemaking person,One bad apple can spoil the bunch,4
bad books,Out of favor,He’s in the boss’s bad books now,3
bad business,Unpleasant or suspicious situation,This sounds like bad business,3
bad company,Negative influence,Keep away from bad company,3
bad egg,Dishonest or unreliable person,He’s a bad egg,3
badge bunny,Fan attracted to police officers,She’s known as a badge bunny,2
badge of honor,Sign of pride or courage,The scar became his badge of honor,4
bad hair day,Day when nothing goes right,It’s just a bad hair day,4
bad iron,Old slang for weapon,He carried a piece of bad iron,1
bad joke,Unfunny or offensive joke,That was a bad joke,4
bad looker,Ugly person,He’s a bit of a bad looker,1
bad news,Troublesome person or thing,He’s bad news—stay away,4
bad old days,Unpleasant past times,People remember the bad old days of war,3
bad penny,Unwelcome person who returns,He turned up again like a bad penny,3
bad taste in one's mouth,Feeling of disgust or regret,The argument left a bad taste in my mouth,4
bad trot,Run of bad luck,He’s been having a bad trot lately,2
bad word,Curse or slur,Don’t say bad words,4
bag of bones,Very thin person or animal,The stray dog was a bag of bones,3
bag of tricks,Collection of methods or resources,He used every bag of tricks to win,3
bail out,Rescue or withdraw,The government bailed out the bank,5
baker's dozen,Thirteen items,A baker’s dozen of muffins please,4
